step,ce_loss,kl,train_acc
1,1.5302224159240723,0.0,0.234375
30,1.2827130556106567,0.0,0.390625
60,0.41564738750457764,0.0,1.0
90,0.024994220584630966,0.0,1.0
120,0.014819136820733547,0.0,1.0
150,0.01188569888472557,0.0,1.0
180,0.009763301350176334,0.0,1.0
210,0.008080591447651386,0.0,1.0
240,0.00722531508654356,0.0,1.0
270,0.006243380252271891,0.0,1.0
300,0.005384555086493492,0.0,1.0
330,0.004854487720876932,0.0,1.0
360,0.00433726841583848,0.0,1.0
390,0.003966905176639557,0.0,1.0
420,0.003740428714081645,0.0,1.0
450,0.0033564104232937098,0.0,1.0
480,0.0029978072270751,0.0,1.0
510,0.002790858969092369,0.0,1.0
540,0.002677264390513301,0.0,1.0
570,0.0024419729597866535,0.0,1.0
600,0.00226227892562747,0.0,1.0
630,0.0021027461625635624,0.0,1.0
660,0.0019746592734009027,0.0,1.0
690,0.0018998095765709877,0.0,1.0
720,0.0017061112448573112,0.0,1.0
750,0.0016104142414405942,0.0,1.0
780,0.0015513024991378188,0.0,1.0
810,0.001453101634979248,0.0,1.0
840,0.0013662682613357902,0.0,1.0
870,0.0012907565105706453,0.0,1.0
900,0.001260298304259777,0.0,1.0
930,0.0011465279385447502,0.0,1.0
960,0.0011356007307767868,0.0,1.0
990,0.0010641971603035927,0.0,1.0
1020,0.0010188118321821094,0.0,1.0
1050,0.0009692944004200399,0.0,1.0
1080,0.000921908940654248,0.0,1.0
1110,0.0008765317033976316,0.0,1.0
1140,0.0008436096250079572,0.0,1.0
1170,0.0008081861305981874,0.0,1.0
1200,0.0007682230789214373,0.0,1.0
1230,0.0007559799123555422,0.0,1.0
1260,0.0007112275343388319,0.0,1.0
1290,0.0006839401903562248,0.0,1.0
1320,0.0006656577461399138,0.0,1.0
1350,0.0006351287011057138,0.0,1.0
1380,0.0006158885080367327,0.0,1.0
1410,0.0005871839239262044,0.0,1.0
1440,0.0005580242723226547,0.0,1.0
1470,0.0005444325506687164,0.0,1.0
1500,0.0005222174222581089,0.0,1.0
